"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2018-06-01 00:00","2018","06","01","00:00","22.5","","18.4","","77","","14","","12","","","","100.35","","29","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2018-06-01 01:00","2018","06","01","01:00","22.4","","18.4","","78","","15","","14","","","","100.34","","29","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2018-06-01 02:00","2018","06","01","02:00","22.0","","18.4","","80","","15","","10","","","","100.32","","28","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2018-06-01 03:00","2018","06","01","03:00","21.9","","18.5","","81","","14","","10","","","","100.30","","28","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2018-06-01 04:00","2018","06","01","04:00","21.8","","18.6","","82","","14","","10","","","","100.29","","28","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2018-06-01 05:00","2018","06","01","05:00","21.5","","18.9","","85","","15","","8","","","","100.33","","28","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2018-06-01 06:00","2018","06","01","06:00","21.5","","19.3","","88","","17","","8","","","","100.32","","29","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2018-06-01 07:00","2018","06","01","07:00","22.6","","19.9","","85","","18","","7","","","","100.32","","30","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2018-06-01 08:00","2018","06","01","08:00","23.3","","20.2","","83","","19","","9","","","","100.33","","31","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2018-06-01 09:00","2018","06","01","09:00","25.0","","20.3","","75","","22","","8","","","","100.34","","33","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2018-06-01 10:00","2018","06","01","10:00","25.9","","20.7","","73","","21","","10","","","","100.33","","34","","","","NA"
