"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-02-01 00:00","2017","02","01","00:00","-13.2","","-15.8","","81","","2","","17","","","","100.59","","","","-21","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-02-01 01:00","2017","02","01","01:00","-13.3","","-15.7","","82","","2","","16","","","","100.55","","","","-21","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-02-01 02:00","2017","02","01","02:00","-13.4","","-15.7","","83","","2","","18","","","","100.55","","","","-22","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-02-01 03:00","2017","02","01","03:00","-13.7","","-15.8","","84","","2","","18","","","","100.54","","","","-22","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-02-01 04:00","2017","02","01","04:00","-13.2","","-15.3","","84","","3","","15","","","","100.54","","","","-21","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-02-01 05:00","2017","02","01","05:00","-13.5","","-15.3","","86","","2","","19","","","","100.53","","","","-22","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-02-01 06:00","2017","02","01","06:00","-13.2","","-15.2","","85","","2","","19","","","","100.50","","","","-22","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-02-01 07:00","2017","02","01","07:00","-13.1","","-15.1","","85","","2","","18","","","","100.52","","","","-21","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-02-01 08:00","2017","02","01","08:00","-12.7","","-14.8","","84","","2","","17","","","","100.54","","","","-21","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-02-01 09:00","2017","02","01","09:00","-12.2","","-14.6","","82","","2","","17","","","","100.53","","","","-20","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-02-01 10:00","2017","02","01","10:00","-11.6","","-14.1","","82","","2","","13","","","","100.55","","","","-18","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-02-01 11:00","2017","02","01","11:00","-10.9","","-13.7","","80","","1","","10","","","","100.57","","","","-16","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-02-01 12:00","2017","02","01","12:00","-10.1","","-13.2","","78","","1","","9","","","","100.55","","","","-15","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-02-01 13:00","2017","02","01","13:00","-8.8","","-12.3","","76","","2","","4","","","","100.53","","","","-11","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-02-01 14:00","2017","02","01","14:00","-8.1","","-11.8","","74","","24","","4","","","","100.55","","","","-10","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-02-01 15:00","2017","02","01","15:00","-7.0","","-10.7","","75","","24","","4","","","","100.62","","","","-9","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-02-01 16:00","2017","02","01","16:00","-7.9","","-10.8","","80","","18","","9","","","","100.68","","","","-12","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-02-01 17:00","2017","02","01","17:00","-7.5","","-10.7","","78","","23","","10","","","","100.79","","","","-12","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-02-01 18:00","2017","02","01","18:00","-8.6","","-11.8","","78","","27","","3","","","","100.84","","","","-10","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-02-01 19:00","2017","02","01","19:00","-7.9","","-10.9","","79","","26","","3","","","","100.86","","","","-9","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-02-01 20:00","2017","02","01","20:00","-6.9","","-10.1","","78","","23","","7","","","","100.87","","","","-10","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-02-01 21:00","2017","02","01","21:00","-6.6","","-8.6","","86","","19","","7","","","","100.87","","","","-10","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-02-01 22:00","2017","02","01","22:00","-6.7","","-7.8","","92","","20","","9","","","","100.88","","","","-11","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-02-01 23:00","2017","02","01","23:00","-6.6","","-8.0","","90","","21","","7","","","","100.88","","","","-10","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-02-02 00:00","2017","02","02","00:00","-6.9","","-8.2","","90","","15","","6","","","","100.81","","","","-10","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-02-02 01:00","2017","02","02","01:00","-6.3","","-7.7","","90","","20","","11","","","","100.83","","","","-11","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-02-02 02:00","2017","02","02","02:00","-6.3","","-7.8","","89","","17","","5","","","","100.83","","","","-9","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-02-02 03:00","2017","02","02","03:00","-5.8","","-7.4","","88","","24","","7","","","","100.83","","","","-9","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-02-02 04:00","2017","02","02","04:00","-5.7","","-7.4","","88","","28","","8","","","","100.83","","","","-9","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-02-02 05:00","2017","02","02","05:00","-6.1","","-7.7","","89","","27","","10","","","","100.87","","","","-11","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-02-02 06:00","2017","02","02","06:00","-6.4","","-8.6","","85","","28","","20","","","","100.94","","","","-13","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-02-02 07:00","2017","02","02","07:00","-7.7","","-10.3","","82","","27","","17","","","","101.04","","","","-14","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-02-02 08:00","2017","02","02","08:00","-10.2","","-14.1","","73","","29","","24","","","","101.17","","","","-19","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-02-02 09:00","2017","02","02","09:00","-10.4","","-14.8","","70","","28","","17","","","","101.21","","","","-18","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-02-02 10:00","2017","02","02","10:00","-10.7","","-16.1","","65","","27","","19","","","","101.30","","","","-19","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2017-02-02 11:00","2017","02","02","11:00","-10.5","","-16.5","","62","","27","","23","","","","101.31","","","","-19","","NA"
