"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2016-04-01 00:00","2016","04","01","00:00","15.3","","10.2","","71","","18","","22","","","","99.11","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2016-04-01 01:00","2016","04","01","01:00","16.3","","10.4","","68","","18","","26","","","","98.98","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2016-04-01 02:00","2016","04","01","02:00","13.9","","9.8","","77","","19","","15","","","","99.00","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2016-04-01 03:00","2016","04","01","03:00","14.0","","10.0","","77","","23","","23","","","","99.09","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2016-04-01 04:00","2016","04","01","04:00","14.1","","10.7","","80","","21","","27","","","","99.09","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2016-04-01 05:00","2016","04","01","05:00","13.4","","10.8","","84","","23","","23","","","","99.16","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2016-04-01 06:00","2016","04","01","06:00","12.7","","10.7","","87","","23","","26","","","","99.17","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2016-04-01 07:00","2016","04","01","07:00","11.7","","10.3","","91","","22","","14","","","","99.18","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2016-04-01 08:00","2016","04","01","08:00","11.6","","10.3","","92","","22","","14","","","","99.17","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2016-04-01 09:00","2016","04","01","09:00","11.6","","10.4","","93","","22","","13","","","","99.17","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2016-04-01 10:00","2016","04","01","10:00","11.9","","10.8","","93","","22","","11","","","","99.14","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2016-04-01 11:00","2016","04","01","11:00","13.9","","10.1","","78","","25","","21","","","","99.05","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2016-04-01 12:00","2016","04","01","12:00","12.9","","9.0","","77","","23","","18","","","","99.04","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2016-04-01 13:00","2016","04","01","13:00","13.6","","9.0","","74","","23","","18","","","","98.97","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2016-04-01 14:00","2016","04","01","14:00","11.9","","6.4","","69","","27","","26","","","","99.02","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2016-04-01 15:00","2016","04","01","15:00","12.6","","5.8","","63","","27","","37","","","","99.05","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2016-04-01 16:00","2016","04","01","16:00","11.2","","4.9","","65","","27","","33","","","","99.11","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2016-04-01 17:00","2016","04","01","17:00","9.9","","3.5","","65","","27","","33","","","","99.20","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2016-04-01 18:00","2016","04","01","18:00","8.4","","3.2","","70","","27","","25","","","","99.34","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2016-04-01 19:00","2016","04","01","19:00","8.2","","1.9","","65","","27","","27","","","","99.57","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2016-04-01 20:00","2016","04","01","20:00","6.9","","1.8","","70","","29","","21","","","","99.70","","","","","","NA"
