"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-01 00:00","2015","01","01","00:00","-6.5","","-16.1","","46","","24","","26","","","","100.81","","","","-14","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-01 01:00","2015","01","01","01:00","-6.5","","-12.1","","64","","22","","21","","","","100.76","","","","-14","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-01 02:00","2015","01","01","02:00","-6.4","","-12.2","","63","","22","","18","","","","100.74","","","","-13","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-01 03:00","2015","01","01","03:00","-7.2","","-10.4","","78","","23","","19","","","","100.72","","","","-14","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-01 04:00","2015","01","01","04:00","-7.1","","-10.4","","77","","22","","22","","","","100.68","","","","-15","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-01 05:00","2015","01","01","05:00","-7.0","","-10.4","","77","","22","","21","","","","100.65","","","","-14","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-01 06:00","2015","01","01","06:00","-6.3","","-10.6","","71","","21","","25","","","","100.66","","","","-14","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-01 07:00","2015","01","01","07:00","-6.0","","-11.5","","65","","22","","18","","","","100.58","","","","-12","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-01 08:00","2015","01","01","08:00","-5.7","","-12.5","","59","","23","","26","","","","100.58","","","","-13","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-01 09:00","2015","01","01","09:00","-4.9","","-11.3","","61","","23","","26","","","","100.55","","","","-12","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-01 10:00","2015","01","01","10:00","-4.1","","-10.5","","61","","23","","26","","","","100.52","","","","-11","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-01 11:00","2015","01","01","11:00","-3.8","","-8.7","","69","","23","","31","","","","100.38","","","","-12","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-01 12:00","2015","01","01","12:00","-3.8","","-7.4","","76","","22","","31","","","","100.30","","","","-12","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-01 13:00","2015","01","01","13:00","-4.2","","-6.5","","84","","22","","33","","","","100.24","","","","-12","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-01 14:00","2015","01","01","14:00","-3.3","","-6.0","","82","","23","","24","","","","100.21","","","","-10","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-01 15:00","2015","01","01","15:00","-3.3","","-5.7","","83","","22","","24","","","","100.18","","","","-10","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-01 16:00","2015","01","01","16:00","-3.2","","-5.8","","82","","21","","27","","","","100.22","","","","-10","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-01 17:00","2015","01","01","17:00","-3.7","","-5.7","","86","","22","","23","","","","100.22","","","","-10","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-01 18:00","2015","01","01","18:00","-3.6","","-5.4","","88","","22","","25","","","","100.22","","","","-11","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-01 19:00","2015","01","01","19:00","-3.6","","-5.7","","85","","23","","23","","","","100.24","","","","-10","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-01 20:00","2015","01","01","20:00","-3.4","","-4.7","","90","","23","","22","","","","100.23","","","","-10","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-01 21:00","2015","01","01","21:00","-3.3","","-5.8","","82","","25","","27","","","","100.27","","","","-10","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-01 22:00","2015","01","01","22:00","-3.3","","-7.0","","75","","25","","21","","","","100.32","","","","-10","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-01 23:00","2015","01","01","23:00","-3.4","","-8.3","","69","","25","","25","","","","100.39","","","","-10","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-02 00:00","2015","01","02","00:00","-3.7","","-8.4","","70","","25","","26","","","","100.39","","","","-11","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-02 01:00","2015","01","02","01:00","-3.4","","-8.6","","67","","25","","25","","","","100.44","","","","-10","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-02 02:00","2015","01","02","02:00","-3.4","","-8.2","","69","","26","","23","","","","100.52","","","","-10","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-02 03:00","2015","01","02","03:00","-3.9","","-6.9","","80","","29","","24","","","","100.63","","","","-11","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-02 04:00","2015","01","02","04:00","-4.4","","-8.0","","76","","27","","22","","","","100.67","","","","-11","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-02 05:00","2015","01","02","05:00","-6.1","","-13.0","","58","","30","","29","","","","100.85","","","","-14","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-02 06:00","2015","01","02","06:00","-7.6","","-15.2","","54","","30","","21","","","","101.04","","","","-15","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-02 07:00","2015","01","02","07:00","-8.4","","-15.9","","54","","31","","16","","","","101.19","","","","-15","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-02 08:00","2015","01","02","08:00","-9.5","","-16.6","","56","","30","","13","","","","101.31","","","","-16","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-02 09:00","2015","01","02","09:00","-8.8","","-16.8","","52","","29","","18","","","","101.51","","","","-16","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-02 10:00","2015","01","02","10:00","-8.4","","-17.1","","49","","28","","28","","","","101.54","","","","-17","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-02 11:00","2015","01","02","11:00","-8.0","","-16.5","","50","","27","","23","","","","101.58","","","","-16","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-02 12:00","2015","01","02","12:00","-8.1","","-16.4","","51","","28","","28","","","","101.59","","","","-17","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-02 13:00","2015","01","02","13:00","-8.1","","-17.2","","48","","27","","32","","","","101.63","","","","-17","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-02 14:00","2015","01","02","14:00","-7.8","","-16.3","","50","","28","","25","","","","101.74","","","","-16","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-02 15:00","2015","01","02","15:00","-7.9","","-17.7","","45","","28","","31","","","","101.86","","","","-17","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-02 16:00","2015","01","02","16:00","-8.3","","-18.2","","45","","28","","25","","","","101.97","","","","-17","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-02 17:00","2015","01","02","17:00","-9.0","","-19.0","","44","","28","","18","","","","102.12","","","","-16","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-02 18:00","2015","01","02","18:00","-10.0","","-19.0","","48","","29","","15","","","","102.24","","","","-17","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-02 19:00","2015","01","02","19:00","-11.6","","-19.5","","52","","29","","10","","","","102.40","","","","-17","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-02 20:00","2015","01","02","20:00","-11.4","","-20.1","","49","","30","","14","","","","102.49","","","","-18","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-02 21:00","2015","01","02","21:00","-12.2","","-20.4","","51","","29","","8","","","","102.60","","","","-17","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-02 22:00","2015","01","02","22:00","-12.2","","-20.4","","51","","28","","5","","","","102.68","","","","-15","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-02 23:00","2015","01","02","23:00","-12.4","","-20.9","","49","","30","","5","","","","102.83","","","","-16","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-03 00:00","2015","01","03","00:00","-14.6","","-20.9","","59","","32","","9","","","","102.92","","","","-20","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-03 01:00","2015","01","03","01:00","-14.4","","-21.3","","56","","31","","2","","","","103.01","","","","-16","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-03 02:00","2015","01","03","02:00","-14.5","","-21.7","","55","","1","","9","","","","103.07","","","","-20","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-03 03:00","2015","01","03","03:00","-14.6","","-20.6","","61","","4","","2","","","","103.15","","","","-16","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-03 04:00","2015","01","03","04:00","-14.0","","-20.3","","59","","7","","4","","","","103.15","","","","-17","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-03 05:00","2015","01","03","05:00","-17.0","","-21.1","","71","","36","","4","","","","103.23","","","","-20","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-03 06:00","2015","01","03","06:00","-13.7","","-20.2","","58","","9","","4","","","","103.26","","","","-16","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-03 07:00","2015","01","03","07:00","-13.9","","-21.2","","54","","9","","10","","","","103.31","","","","-20","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-03 08:00","2015","01","03","08:00","-13.8","","-20.9","","55","","7","","10","","","","103.24","","","","-20","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-03 09:00","2015","01","03","09:00","-13.8","","-21.1","","54","","7","","9","","","","103.34","","","","-19","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-03 10:00","2015","01","03","10:00","-12.8","","-21.1","","50","","7","","9","","","","103.30","","","","-18","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-03 11:00","2015","01","03","11:00","-12.3","","-20.2","","52","","5","","10","","","","103.27","","","","-18","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-03 12:00","2015","01","03","12:00","-12.0","","-19.5","","54","","3","","15","","","","103.28","","","","-19","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-03 13:00","2015","01","03","13:00","-11.9","","-19.4","","54","","4","","20","","","","103.09","","","","-20","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-03 14:00","2015","01","03","14:00","-11.9","","-18.7","","57","","4","","16","","","","102.99","","","","-19","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-03 15:00","2015","01","03","15:00","-11.8","","-16.8","","67","","5","","18","","","","102.87","","","","-20","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-03 16:00","2015","01","03","16:00","-12.1","","-15.7","","74","","4","","20","","","","102.79","","","","-21","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-03 17:00","2015","01","03","17:00","-12.6","","-15.3","","80","","4","","21","","","","102.60","","","","-21","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-03 18:00","2015","01","03","18:00","-12.5","","-15.1","","81","","4","","24","","","","102.46","","","","-22","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-03 19:00","2015","01","03","19:00","-12.0","","-14.4","","82","","4","","20","","","","102.29","","","","-20","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-03 20:00","2015","01","03","20:00","-11.5","","-13.7","","84","","4","","22","","","","102.09","","","","-20","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-03 21:00","2015","01","03","21:00","-11.1","","-13.0","","86","","4","","24","","","","101.92","","","","-20","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-03 22:00","2015","01","03","22:00","-10.3","","-12.1","","87","","4","","24","","","","101.73","","","","-19","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-03 23:00","2015","01","03","23:00","-9.3","","-11.0","","87","","3","","21","","","","101.61","","","","-17","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-04 00:00","2015","01","04","00:00","-8.4","","-9.9","","88","","3","","23","","","","101.39","","","","-16","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-04 01:00","2015","01","04","01:00","-7.7","","-9.3","","89","","4","","20","","","","101.27","","","","-15","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-04 02:00","2015","01","04","02:00","-6.9","","-8.6","","88","","4","","20","","","","101.11","","","","-14","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-04 03:00","2015","01","04","03:00","-6.6","","-8.1","","89","","3","","20","","","","100.97","","","","-14","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-04 04:00","2015","01","04","04:00","-6.0","","-7.4","","90","","3","","18","","","","100.79","","","","-12","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-04 05:00","2015","01","04","05:00","-5.2","","-6.4","","91","","3","","16","","","","100.63","","","","-11","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-04 06:00","2015","01","04","06:00","-5.5","","-6.7","","91","","3","","14","","","","100.49","","","","-11","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-04 07:00","2015","01","04","07:00","-5.2","","-6.3","","92","","3","","14","","","","100.36","","","","-11","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-04 08:00","2015","01","04","08:00","-4.8","","-6.0","","92","","3","","11","","","","100.25","","","","-9","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-04 09:00","2015","01","04","09:00","-3.3","","-4.4","","92","","","","0","","","","100.08","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-04 10:00","2015","01","04","10:00","-2.6","","-3.7","","92","","","","0","","","","100.02","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-01-04 11:00","2015","01","04","11:00","-1.4","","-2.5","","92","","","","0","","","","99.81","","","","","","NA"
