"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-01 00:00","2015","09","01","00:00","18.8","","16.8","","88","","35","","3","","","","101.16","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-01 01:00","2015","09","01","01:00","17.6","","16.0","","90","","2","","4","","","","101.16","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-01 02:00","2015","09","01","02:00","18.0","","16.1","","89","","3","","6","","","","101.23","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-01 03:00","2015","09","01","03:00","17.2","","15.5","","90","","2","","7","","","","101.25","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-01 04:00","2015","09","01","04:00","14.9","","13.2","","90","","3","","5","","","","101.29","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-01 05:00","2015","09","01","05:00","15.0","","13.7","","92","","1","","3","","","","101.32","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-01 06:00","2015","09","01","06:00","15.9","","13.9","","88","","2","","4","","","","101.38","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-01 07:00","2015","09","01","07:00","19.1","","14.8","","76","","7","","3","","","","101.41","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-01 08:00","2015","09","01","08:00","20.7","","14.1","","66","","13","","8","","","","101.38","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-01 09:00","2015","09","01","09:00","22.0","","13.3","","58","","16","","10","","","","101.40","","25","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-01 10:00","2015","09","01","10:00","22.7","","13.7","","57","","18","","10","","","","101.38","","26","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-01 11:00","2015","09","01","11:00","23.8","","16.6","","64","","17","","8","","","","101.32","","29","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-01 12:00","2015","09","01","12:00","24.2","","17.3","","65","","22","","13","","","","101.27","","30","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-01 13:00","2015","09","01","13:00","25.5","","17.1","","60","","21","","15","","","","101.23","","31","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-01 14:00","2015","09","01","14:00","26.3","","16.7","","55","","23","","11","","","","101.17","","31","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-01 15:00","2015","09","01","15:00","27.3","","16.7","","52","","23","","12","","","","101.11","","32","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-01 16:00","2015","09","01","16:00","26.9","","18.2","","59","","21","","14","","","","101.09","","33","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-01 17:00","2015","09","01","17:00","27.2","","16.6","","52","","25","","15","","","","101.10","","32","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-01 18:00","2015","09","01","18:00","26.2","","17.8","","60","","26","","11","","","","101.10","","32","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-01 19:00","2015","09","01","19:00","25.4","","18.2","","64","","25","","8","","","","101.10","","32","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-01 20:00","2015","09","01","20:00","24.5","","19.3","","73","","22","","7","","","","101.13","","32","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-01 21:00","2015","09","01","21:00","23.9","","18.3","","71","","24","","14","","","","101.10","","30","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-01 22:00","2015","09","01","22:00","23.1","","19.0","","78","","24","","12","","","","101.09","","30","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-01 23:00","2015","09","01","23:00","22.6","","18.5","","78","","25","","12","","","","101.12","","29","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-02 00:00","2015","09","02","00:00","21.9","","18.5","","81","","25","","12","","","","101.13","","28","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-02 01:00","2015","09","02","01:00","21.4","","18.3","","83","","25","","14","","","","101.12","","28","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-02 02:00","2015","09","02","02:00","21.0","","18.3","","85","","25","","9","","","","101.11","","27","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-02 03:00","2015","09","02","03:00","21.0","","18.6","","86","","23","","8","","","","101.07","","27","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-02 04:00","2015","09","02","04:00","20.0","","18.1","","89","","27","","6","","","","101.08","","26","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-02 05:00","2015","09","02","05:00","20.6","","18.5","","88","","24","","10","","","","101.06","","27","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-02 06:00","2015","09","02","06:00","20.3","","18.3","","89","","26","","13","","","","101.09","","27","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-02 07:00","2015","09","02","07:00","19.8","","18.3","","91","","25","","13","","","","101.09","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-02 08:00","2015","09","02","08:00","19.7","","18.4","","92","","25","","11","","","","101.08","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-02 09:00","2015","09","02","09:00","20.4","","18.7","","90","","24","","15","","","","101.06","","27","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-02 10:00","2015","09","02","10:00","21.2","","18.9","","86","","25","","16","","","","101.07","","28","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-02 11:00","2015","09","02","11:00","22.1","","19.2","","84","","25","","13","","","","101.04","","29","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-02 12:00","2015","09","02","12:00","23.8","","19.2","","76","","25","","17","","","","101.01","","31","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-02 13:00","2015","09","02","13:00","25.3","","19.0","","68","","23","","18","","","","100.95","","32","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-02 14:00","2015","09","02","14:00","25.5","","19.2","","68","","25","","18","","","","100.88","","32","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-02 15:00","2015","09","02","15:00","25.9","","19.4","","68","","25","","18","","","","100.83","","33","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2015-09-02 16:00","2015","09","02","16:00","25.3","","19.6","","71","","27","","15","","","","100.78","","33","","","","NA"
